index;Name;Type;Embossing;Code;Type;Surface;Full_name;Repository_links;Full_texture_link;Thumb_link
0;Brown_Kansas_Oak;0;H;1113;PAL;ST10;PAL_H1113_ST10;https://cdn.artcharm.md/imagini/texturi/pal/;https://cdn.artcharm.md/imagini/texturi/pal/PAL_H1113_ST10.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_H1113_ST10_thumb.jpg
1;Natural_Sheffield_Acacia;0;H;1242;PAL;ST10;PAL_H1242_ST10;https://cdn.artcharm.md/imagini/butontextura/pal/;https://cdn.artcharm.md/imagini/texturi/pal/PAL_H1242_ST10.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_H1242_ST10_thumb.jpg
2;Truffle_Brown_Denver_Oak;0;H;1399;PAL;ST10;PAL_H1399_ST10;;https://cdn.artcharm.md/imagini/texturi/pal/PAL_H1399_ST10.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_H1399_ST10_thumb.jpg
3;Parona_Walnut;0;H;1715;PAL;ST12;PAL_H1715_ST12;;https://cdn.artcharm.md/imagini/texturi/pal/PAL_H1715_ST12.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_H1715_ST12_thumb.jpg
4;Natural_Tonsberg_Oak;0;H;305;PAL;ST12;PAL_H305_ST12;;https://cdn.artcharm.md/imagini/texturi/pal/PAL_H305_ST12.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_H305_ST12_thumb.jpg
5;Brown_Tonsberg_Oak;0;H;309;PAL;ST12;PAL_H309_ST12;;https://cdn.artcharm.md/imagini/texturi/pal/PAL_H309_ST12.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_H309_ST12_thumb.jpg
6;Truffle_Brown_Davos_Oak;0;H;3133;PAL;ST12;PAL_H3133_ST12;;https://cdn.artcharm.md/imagini/texturi/pal/PAL_H3133_ST12.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_H3133_ST12_thumb.jpg
7;Natural_Kendal_Oak;0;H;3170;PAL;ST12;PAL_H3170_ST12;;https://cdn.artcharm.md/imagini/texturi/pal/PAL_H3170_ST12.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_H3170_ST12_thumb.jpg
8;Natural_Hickory;0;H;3730;PAL;ST10;PAL_H3730_ST10;;https://cdn.artcharm.md/imagini/texturi/pal/PAL_H3730_ST10.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_H3730_ST10_thumb.jpg
9;Vicenza_Oak;0;H;3157;PAL;ST12;PAL_H3157_ST12;;https://cdn.artcharm.md/imagini/texturi/pal/PAL_H3157_ST12.jpg;https://cdn.artcharm.md/imagini/butontextura/pal/PAL_H3157_ST12_thumb.jpg
